Balancing authority hourly actual and forecast demand 01 per 31 per 2019 – 02 per 07 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190207T00&start=20190131T00&bas=000002&regions=0
14:03:05 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
02/8/2019 00H EST,29032,28655
02/7/2019 23H EST,29442,29363
02/7/2019 22H EST,29479,29527
02/7/2019 21H EST,27690,27633
02/7/2019 20H EST,24691,24978
02/7/2019 19H EST,21827,23671
02/7/2019 18H EST,20982,23092
02/7/2019 17H EST,20909,22861
02/7/2019 16H EST,21254,22913
02/7/2019 15H EST,21632,23362
02/7/2019 14H EST,22194,24211
02/7/2019 13H EST,20202,25417
02/7/2019 12H EST,20316,26596
02/7/2019 11H EST,21975,27377
02/7/2019 10H EST,19702,26422
02/7/2019 09H EST,18176,23771
02/7/2019 08H EST,17108,22026
02/7/2019 07H EST,16725,21333
02/7/2019 06H EST,16734,21381
02/7/2019 05H EST,16887,21806
02/7/2019 04H EST,17361,22567
02/7/2019 03H EST,17990,23671
02/7/2019 02H EST,18977,25626
02/7/2019 01H EST,19904,27612
02/7/2019 00H EST,20608,29058
02/6/2019 23H EST,20843,29811
02/6/2019 22H EST,20891,29910
02/6/2019 21H EST,19859,27970
02/6/2019 20H EST,20778,25299
02/6/2019 19H EST,20987,23907
02/6/2019 18H EST,20340,23332
02/6/2019 17H EST,20347,23397
02/6/2019 16H EST,20404,23499
02/6/2019 15H EST,20853,23990
02/6/2019 14H EST,21778,24901
02/6/2019 13H EST,22816,25940
02/6/2019 12H EST,24084,26840
02/6/2019 11H EST,26341,27528
02/6/2019 10H EST,26360,26623
02/6/2019 09H EST,,23829
02/6/2019 08H EST,21305,22047
02/6/2019 07H EST,20273,21345
02/6/2019 06H EST,20050,21347
02/6/2019 05H EST,20237,21760
02/6/2019 04H EST,20826,22484
02/6/2019 03H EST,23060,23733
02/6/2019 02H EST,24672,25641
02/6/2019 01H EST,23093,27607
02/6/2019 00H EST,23832,28920
02/5/2019 23H EST,23945,29687
02/5/2019 22H EST,23943,29820
02/5/2019 21H EST,23019,28236
02/5/2019 20H EST,21462,26438
02/5/2019 19H EST,20950,25288
02/5/2019 18H EST,19945,25154
02/5/2019 17H EST,17037,25148
02/5/2019 16H EST,20779,25245
02/5/2019 15H EST,21987,25430
02/5/2019 14H EST,18400,25904
02/5/2019 13H EST,23877,26532
02/5/2019 12H EST,24476,27015
02/5/2019 11H EST,25627,27006
02/5/2019 10H EST,25471,25453
02/5/2019 09H EST,23103,22802
02/5/2019 08H EST,21007,21158
02/5/2019 07H EST,20308,20530
02/5/2019 06H EST,20202,20570
02/5/2019 05H EST,20536,21065
02/5/2019 04H EST,21150,21802
02/5/2019 03H EST,22157,22579
02/5/2019 02H EST,23990,24392
02/5/2019 01H EST,25999,26306
02/5/2019 00H EST,24866,27679
02/4/2019 23H EST,28044,28478
02/4/2019 22H EST,28282,28727
02/4/2019 21H EST,27720,27653
02/4/2019 20H EST,26031,25938
02/4/2019 19H EST,24643,25320
02/4/2019 18H EST,24426,25139
02/4/2019 17H EST,24587,25231
02/4/2019 16H EST,25215,25232
02/4/2019 15H EST,25318,25386
02/4/2019 14H EST,25583,25723
02/4/2019 13H EST,25625,26085
02/4/2019 12H EST,25381,26230
02/4/2019 11H EST,25325,25783
02/4/2019 10H EST,24277,23916
02/4/2019 09H EST,21944,21307
02/4/2019 08H EST,20282,19731
02/4/2019 07H EST,19670,19055
02/4/2019 06H EST,19534,19078
02/4/2019 05H EST,19860,19490
02/4/2019 04H EST,20577,20156
02/4/2019 03H EST,21327,20798
02/4/2019 02H EST,22807,22315
02/4/2019 01H EST,24119,23970
02/4/2019 00H EST,24907,25077
02/3/2019 23H EST,24922,25702
02/3/2019 22H EST,25010,25721
02/3/2019 21H EST,24269,24483
02/3/2019 20H EST,22585,22419
02/3/2019 19H EST,21680,21389
02/3/2019 18H EST,21327,21059
02/3/2019 17H EST,21225,20941
02/3/2019 16H EST,21211,20947
02/3/2019 15H EST,21239,21019
02/3/2019 14H EST,21017,21114
02/3/2019 13H EST,20901,21176
02/3/2019 12H EST,20556,21091
02/3/2019 11H EST,20285,20436
02/3/2019 10H EST,20126,19791
02/3/2019 09H EST,19710,19003
02/3/2019 08H EST,19358,18610
02/3/2019 07H EST,19435,18567
02/3/2019 06H EST,19807,18819
02/3/2019 05H EST,20466,19424
02/3/2019 04H EST,21383,20246
02/3/2019 03H EST,22427,21455
02/3/2019 02H EST,24069,22899
02/3/2019 01H EST,25077,24257
02/3/2019 00H EST,25557,25164
02/2/2019 23H EST,25911,25845
02/2/2019 22H EST,26229,26102
02/2/2019 21H EST,25495,25077
02/2/2019 20H EST,24198,23326
02/2/2019 19H EST,24024,22577
02/2/2019 18H EST,23650,22527
02/2/2019 17H EST,23618,22544
02/2/2019 16H EST,23888,22723
02/2/2019 15H EST,23730,22982
02/2/2019 14H EST,23771,23194
02/2/2019 13H EST,23385,23172
02/2/2019 12H EST,22731,22638
