Balancing authority hourly actual and forecast demand 08 per 05 per 2018 – 08 per 12 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20180812T00&start=20180805T00&bas=000002&regions=0
14:08:05 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
08/13/2018 00H EST,37073,35355
08/12/2018 23H EST,37840,35719
08/12/2018 22H EST,39098,36670
08/12/2018 21H EST,39159,36812
08/12/2018 20H EST,38576,36184
08/12/2018 19H EST,37481,35054
08/12/2018 18H EST,35901,33534
08/12/2018 17H EST,34149,31821
08/12/2018 16H EST,32578,30033
08/12/2018 15H EST,31105,28549
08/12/2018 14H EST,29395,27002
08/12/2018 13H EST,27989,25640
08/12/2018 12H EST,26816,24460
08/12/2018 11H EST,25822,23568
08/12/2018 10H EST,25139,23203
08/12/2018 09H EST,25162,23569
08/12/2018 08H EST,25079,23386
08/12/2018 07H EST,25571,23778
08/12/2018 06H EST,26312,24664
08/12/2018 05H EST,27371,25746
08/12/2018 04H EST,28872,27425
08/12/2018 03H EST,31173,29630
08/12/2018 02H EST,33758,32215
08/12/2018 01H EST,36256,34686
08/12/2018 00H EST,38068,36305
08/11/2018 23H EST,38892,37096
08/11/2018 22H EST,40204,38118
08/11/2018 21H EST,40723,38720
08/11/2018 20H EST,40250,38463
08/11/2018 19H EST,39334,37617
08/11/2018 18H EST,37994,36291
08/11/2018 17H EST,36336,34863
08/11/2018 16H EST,34444,33231
08/11/2018 15H EST,32511,31614
08/11/2018 14H EST,30917,30023
08/11/2018 13H EST,29335,28429
08/11/2018 12H EST,27869,27020
08/11/2018 11H EST,26952,25879
08/11/2018 10H EST,26027,25254
08/11/2018 09H EST,25645,25125
08/11/2018 08H EST,25431,24944
08/11/2018 07H EST,25855,25280
08/11/2018 06H EST,26830,26140
08/11/2018 05H EST,28080,27510
08/11/2018 04H EST,29842,29343
08/11/2018 03H EST,32104,31976
08/11/2018 02H EST,34845,34957
08/11/2018 01H EST,37756,38008
08/11/2018 00H EST,39748,39885
08/10/2018 23H EST,40950,41044
08/10/2018 22H EST,42584,42609
