Balancing authority hourly actual and forecast demand 09 per 24 per 2018 – 10 per 01 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181001T00&start=20180924T00&bas=000002&regions=0
19:30:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
10/2/2018 00H EDT,33315,33188
10/1/2018 23H EDT,34646,34539
10/1/2018 22H EDT,34382,34021
10/1/2018 21H EDT,34645,33851
10/1/2018 20H EDT,34724,33664
10/1/2018 19H EDT,34254,32966
10/1/2018 18H EDT,33588,32109
10/1/2018 17H EDT,32731,31227
10/1/2018 16H EDT,31295,30087
10/1/2018 15H EDT,30454,29211
10/1/2018 14H EDT,29434,28568
10/1/2018 13H EDT,28585,27903
10/1/2018 12H EDT,27557,27485
10/1/2018 11H EDT,26763,27050
10/1/2018 10H EDT,25444,25643
10/1/2018 09H EDT,23065,23214
10/1/2018 08H EDT,21597,21674
10/1/2018 07H EDT,21117,21161
10/1/2018 06H EDT,21360,21334
10/1/2018 05H EDT,21946,21917
10/1/2018 04H EDT,22831,22633
10/1/2018 03H EDT,24137,23305
10/1/2018 02H EDT,26209,25122
10/1/2018 01H EDT,28294,27169
10/1/2018 00H EDT,29769,28866
09/30/2018 23H EDT,30703,29716
09/30/2018 22H EDT,30050,29284
09/30/2018 21H EDT,29707,28861
09/30/2018 20H EDT,29085,28047
09/30/2018 19H EDT,28348,26800
09/30/2018 18H EDT,27004,25441
09/30/2018 17H EDT,25778,24223
09/30/2018 16H EDT,24387,23103
09/30/2018 15H EDT,23522,22407
09/30/2018 14H EDT,22915,21972
09/30/2018 13H EDT,22542,21789
09/30/2018 12H EDT,21942,21522
09/30/2018 11H EDT,21254,21073
09/30/2018 10H EDT,21207,21092
09/30/2018 09H EDT,20709,20692
09/30/2018 08H EDT,20509,20380
09/30/2018 07H EDT,20637,20414
09/30/2018 06H EDT,21111,20848
09/30/2018 05H EDT,21861,21645
09/30/2018 04H EDT,22788,22551
09/30/2018 03H EDT,24121,23904
09/30/2018 02H EDT,25823,25473
09/30/2018 01H EDT,27469,27108
09/30/2018 00H EDT,28790,28402
09/29/2018 23H EDT,29611,29296
09/29/2018 22H EDT,29191,28972
09/29/2018 21H EDT,28919,28733
09/29/2018 20H EDT,28158,28167
09/29/2018 19H EDT,27299,27559
09/29/2018 18H EDT,26509,26394
09/29/2018 17H EDT,25786,25386
09/29/2018 16H EDT,24904,24532
09/29/2018 15H EDT,24591,24074
09/29/2018 14H EDT,24484,23825
09/29/2018 13H EDT,24307,23655
09/29/2018 12H EDT,23595,23408
09/29/2018 11H EDT,23314,22872
09/29/2018 10H EDT,23000,22574
09/29/2018 09H EDT,22099,21790
09/29/2018 08H EDT,21599,21304
09/29/2018 07H EDT,21624,21299
09/29/2018 06H EDT,22144,21763
09/29/2018 05H EDT,23027,22602
09/29/2018 04H EDT,24035,23885
09/29/2018 03H EDT,25628,25995
09/29/2018 02H EDT,27607,28228
09/29/2018 01H EDT,29710,30571
09/29/2018 00H EDT,31440,32532
09/28/2018 23H EDT,32670,33869
09/28/2018 22H EDT,32872,33909
09/28/2018 21H EDT,33324,34525
09/28/2018 20H EDT,33169,34581
09/28/2018 19H EDT,32261,34019
09/28/2018 18H EDT,31192,33083
09/28/2018 17H EDT,30211,31875
09/28/2018 16H EDT,29128,30622
09/28/2018 15H EDT,28683,29865
09/28/2018 14H EDT,28292,29176
09/28/2018 13H EDT,27816,28528
09/28/2018 12H EDT,27447,28043
09/28/2018 11H EDT,27171,27654
09/28/2018 10H EDT,26026,25942
09/28/2018 09H EDT,23807,23636
09/28/2018 08H EDT,22572,22364
09/28/2018 07H EDT,22312,22039
09/28/2018 06H EDT,22674,22453
09/28/2018 05H EDT,23442,23320
09/28/2018 04H EDT,24715,24739
09/28/2018 03H EDT,26424,27083
09/28/2018 02H EDT,28722,29988
09/28/2018 01H EDT,31335,33238
09/28/2018 00H EDT,33470,35882
09/27/2018 23H EDT,34849,37576
09/27/2018 22H EDT,35028,37737
09/27/2018 21H EDT,35803,38206
09/27/2018 20H EDT,35587,37972
09/27/2018 19H EDT,35053,36961
09/27/2018 18H EDT,33740,35498
09/27/2018 17H EDT,32138,33750
09/27/2018 16H EDT,30381,32011
09/27/2018 15H EDT,29333,30731
09/27/2018 14H EDT,28458,29650
09/27/2018 13H EDT,28199,28702
09/27/2018 12H EDT,27228,28063
09/27/2018 11H EDT,26809,27536
09/27/2018 10H EDT,25797,25820
09/27/2018 09H EDT,23581,23597
09/27/2018 08H EDT,22264,22324
09/27/2018 07H EDT,21936,21995
09/27/2018 06H EDT,22265,22406
09/27/2018 05H EDT,23129,23293
09/27/2018 04H EDT,24296,24614
09/27/2018 03H EDT,25969,26331
09/27/2018 02H EDT,28209,29092
09/27/2018 01H EDT,30735,32202
09/27/2018 00H EDT,32987,34754
09/26/2018 23H EDT,34540,36250
09/26/2018 22H EDT,34687,36553
09/26/2018 21H EDT,35148,36848
09/26/2018 20H EDT,34699,36384
09/26/2018 19H EDT,33883,35245
09/26/2018 18H EDT,32159,33726
09/26/2018 17H EDT,30580,32023
09/26/2018 16H EDT,28906,30410
09/26/2018 15H EDT,27850,29310
09/26/2018 14H EDT,27260,28459
09/26/2018 13H EDT,26940,27761
09/26/2018 12H EDT,26723,27406
09/26/2018 11H EDT,26603,27022
09/26/2018 10H EDT,25648,25366
09/26/2018 09H EDT,23385,23143
09/26/2018 08H EDT,22069,21834
09/26/2018 07H EDT,21723,21444
09/26/2018 06H EDT,21972,21781
09/26/2018 05H EDT,22688,22552
09/26/2018 04H EDT,23837,23766
09/26/2018 03H EDT,25335,25958
09/26/2018 02H EDT,27561,28314
09/26/2018 01H EDT,29943,31204
09/26/2018 00H EDT,31951,33598
09/25/2018 23H EDT,32925,34933
09/25/2018 22H EDT,32460,34708
09/25/2018 21H EDT,32437,35027
09/25/2018 20H EDT,31670,34614
09/25/2018 19H EDT,30463,33368
09/25/2018 18H EDT,29048,31920
09/25/2018 17H EDT,27928,30394
09/25/2018 16H EDT,26916,28982
09/25/2018 15H EDT,26708,28180
09/25/2018 14H EDT,26938,27627
09/25/2018 13H EDT,26844,27230
09/25/2018 12H EDT,26569,26867
09/25/2018 11H EDT,26430,26493
09/25/2018 10H EDT,25335,25413
09/25/2018 09H EDT,23026,23197
09/25/2018 08H EDT,21693,21913
09/25/2018 07H EDT,21276,21523
09/25/2018 06H EDT,21515,21829
09/25/2018 05H EDT,22225,22549
09/25/2018 04H EDT,23399,23631
09/25/2018 03H EDT,24828,25162
09/25/2018 02H EDT,27067,27543
09/25/2018 01H EDT,29655,30268
09/25/2018 00H EDT,31655,32593
09/24/2018 23H EDT,32848,33985
09/24/2018 22H EDT,32712,33697
09/24/2018 21H EDT,32757,33791
09/24/2018 20H EDT,32220,33544
09/24/2018 19H EDT,31293,32525
09/24/2018 18H EDT,30190,31220
09/24/2018 17H EDT,29383,29940
09/24/2018 16H EDT,28382,28613
09/24/2018 15H EDT,27945,27897
09/24/2018 14H EDT,27477,27414
09/24/2018 13H EDT,27227,27060
09/24/2018 12H EDT,26973,26880
09/24/2018 11H EDT,26574,26320
09/24/2018 10H EDT,25329,25225
09/24/2018 09H EDT,23017,23032
09/24/2018 08H EDT,21567,21676
09/24/2018 07H EDT,21075,21201
09/24/2018 06H EDT,21262,21460
09/24/2018 05H EDT,21860,22083
09/24/2018 04H EDT,22801,22990
09/24/2018 03H EDT,24174,24611
09/24/2018 02H EDT,26295,26502
09/24/2018 01H EDT,28660,28712
09/24/2018 00H EDT,30565,30569
