Balancing authority hourly actual and forecast demand 12 per 10 per 2018 – 12 per 17 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181217T00&start=20181210T00&bas=000002&regions=0
19:33:02 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
12/18/2018 00H EDT,27934,28059
12/17/2018 23H EDT,28608,29020
12/17/2018 22H EDT,29083,29414
12/17/2018 21H EDT,28895,29034
12/17/2018 20H EDT,26300,26418
12/17/2018 19H EDT,24735,25101
12/17/2018 18H EDT,23934,24759
12/17/2018 17H EDT,23539,24569
12/17/2018 16H EDT,23227,24395
12/17/2018 15H EDT,23432,24508
12/17/2018 14H EDT,23892,24837
12/17/2018 13H EDT,24588,25234
12/17/2018 12H EDT,25167,25532
12/17/2018 11H EDT,25053,25569
12/17/2018 10H EDT,23793,24061
12/17/2018 09H EDT,21565,21503
12/17/2018 08H EDT,20023,19902
12/17/2018 07H EDT,19443,19197
12/17/2018 06H EDT,19284,19232
12/17/2018 05H EDT,19664,19552
12/17/2018 04H EDT,20437,20249
12/17/2018 03H EDT,21586,21074
12/17/2018 02H EDT,23424,22681
12/17/2018 01H EDT,25112,24316
12/17/2018 00H EDT,26389,25551
12/16/2018 23H EDT,26969,26356
12/16/2018 22H EDT,27313,26693
12/16/2018 21H EDT,27072,26302
12/16/2018 20H EDT,24624,23557
12/16/2018 19H EDT,22743,22009
12/16/2018 18H EDT,21752,21486
12/16/2018 17H EDT,21196,21179
12/16/2018 16H EDT,21017,20960
12/16/2018 15H EDT,20944,20970
12/16/2018 14H EDT,21010,21174
12/16/2018 13H EDT,21040,21292
12/16/2018 12H EDT,21226,21193
12/16/2018 11H EDT,21304,20686
12/16/2018 10H EDT,20978,20229
12/16/2018 09H EDT,20160,19395
12/16/2018 08H EDT,19733,19014
12/16/2018 07H EDT,19689,18917
12/16/2018 06H EDT,19938,19152
12/16/2018 05H EDT,20425,19728
12/16/2018 04H EDT,21282,20558
12/16/2018 03H EDT,22130,21851
12/16/2018 02H EDT,23564,23271
12/16/2018 01H EDT,24689,24494
12/16/2018 00H EDT,25527,25355
12/15/2018 23H EDT,26037,25936
12/15/2018 22H EDT,26464,26360
12/15/2018 21H EDT,26371,26068
12/15/2018 20H EDT,23847,23708
12/15/2018 19H EDT,22300,22339
12/15/2018 18H EDT,21457,21619
12/15/2018 17H EDT,20985,21157
12/15/2018 16H EDT,21299,21070
12/15/2018 15H EDT,21429,21205
12/15/2018 14H EDT,21671,21705
12/15/2018 13H EDT,22066,22121
12/15/2018 12H EDT,22622,22171
12/15/2018 11H EDT,22760,21888
12/15/2018 10H EDT,22259,21195
12/15/2018 09H EDT,21129,20124
12/15/2018 08H EDT,20429,19491
12/15/2018 07H EDT,20226,19329
12/15/2018 06H EDT,20349,19558
12/15/2018 05H EDT,20783,20115
12/15/2018 04H EDT,21637,21028
12/15/2018 03H EDT,22875,22828
12/15/2018 02H EDT,24717,24563
12/15/2018 01H EDT,26267,26182
12/15/2018 00H EDT,27370,27400
12/14/2018 23H EDT,28073,28161
12/14/2018 22H EDT,28640,28823
12/14/2018 21H EDT,28782,28731
12/14/2018 20H EDT,26785,26603
12/14/2018 19H EDT,25604,25182
12/14/2018 18H EDT,25313,24689
12/14/2018 17H EDT,25710,24572
12/14/2018 16H EDT,25992,24466
12/14/2018 15H EDT,26376,24657
12/14/2018 14H EDT,26775,25093
12/14/2018 13H EDT,26821,25678
12/14/2018 12H EDT,26731,25907
12/14/2018 11H EDT,26365,26055
12/14/2018 10H EDT,24746,24660
12/14/2018 09H EDT,22173,22140
12/14/2018 08H EDT,20946,20718
12/14/2018 07H EDT,20356,20080
12/14/2018 06H EDT,20458,20179
12/14/2018 05H EDT,20903,20669
12/14/2018 04H EDT,21767,21516
12/14/2018 03H EDT,23065,22789
12/14/2018 02H EDT,25021,24751
12/14/2018 01H EDT,27003,26874
12/14/2018 00H EDT,28187,28327
12/13/2018 23H EDT,28662,29086
12/13/2018 22H EDT,29063,29466
12/13/2018 21H EDT,28970,29124
12/13/2018 20H EDT,26366,26444
12/13/2018 19H EDT,24911,24831
12/13/2018 18H EDT,24141,24109
12/13/2018 17H EDT,23600,23763
12/13/2018 16H EDT,23319,23619
12/13/2018 15H EDT,23788,23846
12/13/2018 14H EDT,24369,24308
12/13/2018 13H EDT,25198,24959
12/13/2018 12H EDT,25973,25619
12/13/2018 11H EDT,26573,26122
12/13/2018 10H EDT,25497,25299
12/13/2018 09H EDT,22833,22612
12/13/2018 08H EDT,21462,21040
12/13/2018 07H EDT,20828,20364
12/13/2018 06H EDT,20851,20407
12/13/2018 05H EDT,21327,20852
12/13/2018 04H EDT,22123,21563
12/13/2018 03H EDT,23385,22796
12/13/2018 02H EDT,25378,24831
12/13/2018 01H EDT,27342,27092
12/13/2018 00H EDT,28528,28645
12/12/2018 23H EDT,28978,29327
12/12/2018 22H EDT,29349,29737
12/12/2018 21H EDT,29034,29352
12/12/2018 20H EDT,26292,26591
12/12/2018 19H EDT,25235,25047
12/12/2018 18H EDT,24320,24366
12/12/2018 17H EDT,23892,24065
12/12/2018 16H EDT,23648,24075
12/12/2018 15H EDT,23813,24393
12/12/2018 14H EDT,24235,24885
12/12/2018 13H EDT,24968,25375
12/12/2018 12H EDT,25857,25827
12/12/2018 11H EDT,26502,26082
12/12/2018 10H EDT,25385,24879
12/12/2018 09H EDT,22803,22289
12/12/2018 08H EDT,21217,20620
12/12/2018 07H EDT,20686,19989
12/12/2018 06H EDT,20814,20039
12/12/2018 05H EDT,21316,20499
12/12/2018 04H EDT,22278,21300
12/12/2018 03H EDT,23273,22701
12/12/2018 02H EDT,24972,24648
12/12/2018 01H EDT,27097,26834
12/12/2018 00H EDT,28504,28128
12/11/2018 23H EDT,29196,29001
12/11/2018 22H EDT,29592,29378
12/11/2018 21H EDT,29338,29228
12/11/2018 20H EDT,26635,26381
12/11/2018 19H EDT,25067,24808
12/11/2018 18H EDT,24343,24151
12/11/2018 17H EDT,24052,23756
12/11/2018 16H EDT,24009,23497
12/11/2018 15H EDT,24313,23641
12/11/2018 14H EDT,24710,24144
12/11/2018 13H EDT,25612,24767
12/11/2018 12H EDT,26337,25451
12/11/2018 11H EDT,26488,25864
12/11/2018 10H EDT,25086,24741
12/11/2018 09H EDT,22491,22120
12/11/2018 08H EDT,21419,20466
12/11/2018 07H EDT,20854,19824
12/11/2018 06H EDT,20866,19892
12/11/2018 05H EDT,21300,20352
12/11/2018 04H EDT,22116,21193
12/11/2018 03H EDT,22923,22426
12/11/2018 02H EDT,24991,24239
12/11/2018 01H EDT,27216,26353
12/11/2018 00H EDT,28657,27844
12/10/2018 23H EDT,29502,28749
12/10/2018 22H EDT,29945,29168
12/10/2018 21H EDT,29663,28817
12/10/2018 20H EDT,27204,26293
12/10/2018 19H EDT,25711,24833
12/10/2018 18H EDT,25411,24484
12/10/2018 17H EDT,25545,24336
12/10/2018 16H EDT,25627,24050
12/10/2018 15H EDT,25904,24049
