HOURBEGINNING_TIME,ZoneJ_NYC
31-JAN-2019 06:00:00,$111.61
31-JAN-2019 05:00:00,$42.52
31-JAN-2019 04:00:00,$36.71
31-JAN-2019 03:00:00,$49.29
31-JAN-2019 02:00:00,$47.99
31-JAN-2019 01:00:00,$62.49
31-JAN-2019 00:00:00,$41.90
30-JAN-2019 23:00:00,$39.81
30-JAN-2019 22:00:00,$78.40
30-JAN-2019 21:00:00,$73.56
30-JAN-2019 20:00:00,$117.25
30-JAN-2019 19:00:00,$115.69
30-JAN-2019 18:00:00,$132.90
30-JAN-2019 17:00:00,$161.14
30-JAN-2019 16:00:00,$84.42
30-JAN-2019 15:00:00,$78.53
30-JAN-2019 14:00:00,$74.52
30-JAN-2019 13:00:00,$48.85
30-JAN-2019 12:00:00,$47.95
30-JAN-2019 11:00:00,$40.85
30-JAN-2019 10:00:00,$41.19
30-JAN-2019 09:00:00,$23.12
30-JAN-2019 08:00:00,$27.48
30-JAN-2019 07:00:00,$33.23
30-JAN-2019 06:00:00,$28.92
30-JAN-2019 05:00:00,$17.15
30-JAN-2019 04:00:00,$35.34
30-JAN-2019 03:00:00,$34.71
30-JAN-2019 02:00:00,$44.77
30-JAN-2019 01:00:00,$47.97
30-JAN-2019 00:00:00,$38.10
29-JAN-2019 23:00:00,$38.26
29-JAN-2019 22:00:00,$28.19
29-JAN-2019 21:00:00,$34.28
29-JAN-2019 20:00:00,$35.34
29-JAN-2019 19:00:00,$34.55
29-JAN-2019 18:00:00,$37.67
29-JAN-2019 17:00:00,$40.89
29-JAN-2019 16:00:00,$38.69
29-JAN-2019 15:00:00,$37.99
29-JAN-2019 14:00:00,$38.28
29-JAN-2019 13:00:00,$40.85
29-JAN-2019 12:00:00,$39.28
29-JAN-2019 11:00:00,$50.32
29-JAN-2019 10:00:00,$47.52
29-JAN-2019 09:00:00,$45.32
29-JAN-2019 08:00:00,$39.35
29-JAN-2019 07:00:00,$74.13
29-JAN-2019 06:00:00,$37.06
29-JAN-2019 05:00:00,$28.30
29-JAN-2019 04:00:00,$35.78
29-JAN-2019 03:00:00,$36.89
29-JAN-2019 02:00:00,$22.87
29-JAN-2019 01:00:00,$30.08
29-JAN-2019 00:00:00,$22.95
28-JAN-2019 23:00:00,$64.30
28-JAN-2019 22:00:00,$78.68
28-JAN-2019 21:00:00,$45.05
28-JAN-2019 20:00:00,$52.92
28-JAN-2019 19:00:00,$51.66
28-JAN-2019 18:00:00,$65.44
28-JAN-2019 17:00:00,$62.23
28-JAN-2019 16:00:00,$54.92
28-JAN-2019 15:00:00,$42.28
28-JAN-2019 14:00:00,$35.41
28-JAN-2019 13:00:00,$35.52
28-JAN-2019 12:00:00,$44.35
28-JAN-2019 11:00:00,$38.37
28-JAN-2019 10:00:00,$43.36
28-JAN-2019 09:00:00,$41.74
28-JAN-2019 08:00:00,$56.07
28-JAN-2019 07:00:00,$60.03
28-JAN-2019 06:00:00,$56.89
28-JAN-2019 05:00:00,$37.96
28-JAN-2019 04:00:00,$31.74
28-JAN-2019 03:00:00,$26.16
28-JAN-2019 02:00:00,-$57.30
28-JAN-2019 01:00:00,-$66.99
28-JAN-2019 00:00:00,-$21.89
27-JAN-2019 23:00:00,$13.60
27-JAN-2019 22:00:00,$23.44
27-JAN-2019 21:00:00,$29.83
27-JAN-2019 20:00:00,$41.42
27-JAN-2019 19:00:00,$40.96
27-JAN-2019 18:00:00,$40.43
27-JAN-2019 17:00:00,$37.21
27-JAN-2019 16:00:00,$75.14
27-JAN-2019 15:00:00,$62.59
27-JAN-2019 14:00:00,$81.16
27-JAN-2019 13:00:00,$34.93
27-JAN-2019 12:00:00,$32.24
27-JAN-2019 11:00:00,$30.90
27-JAN-2019 10:00:00,$29.48
27-JAN-2019 09:00:00,$24.67
27-JAN-2019 08:00:00,$29.08
27-JAN-2019 07:00:00,$47.45
27-JAN-2019 06:00:00,$46.42
27-JAN-2019 05:00:00,$43.01
27-JAN-2019 04:00:00,$104.78
27-JAN-2019 03:00:00,$77.13
27-JAN-2019 02:00:00,$69.24
27-JAN-2019 01:00:00,$56.92
27-JAN-2019 00:00:00,$66.54
26-JAN-2019 23:00:00,$65.24
26-JAN-2019 22:00:00,$38.65
26-JAN-2019 21:00:00,$45.96
26-JAN-2019 20:00:00,$34.75
26-JAN-2019 19:00:00,$32.53
26-JAN-2019 18:00:00,$33.50
26-JAN-2019 17:00:00,$33.69
26-JAN-2019 16:00:00,$34.97
26-JAN-2019 15:00:00,$32.87
26-JAN-2019 14:00:00,$34.05
26-JAN-2019 13:00:00,$34.98
26-JAN-2019 12:00:00,$40.82
26-JAN-2019 11:00:00,$36.44
26-JAN-2019 10:00:00,$39.65
26-JAN-2019 09:00:00,$44.64
26-JAN-2019 08:00:00,$41.56
26-JAN-2019 07:00:00,$41.76
26-JAN-2019 06:00:00,$47.09
26-JAN-2019 05:00:00,$40.92
26-JAN-2019 04:00:00,$40.31
26-JAN-2019 03:00:00,$38.46
26-JAN-2019 02:00:00,$40.19
26-JAN-2019 01:00:00,$44.14
26-JAN-2019 00:00:00,$43.34
25-JAN-2019 23:00:00,$39.58
25-JAN-2019 22:00:00,$37.80
25-JAN-2019 21:00:00,$41.21
25-JAN-2019 20:00:00,$43.07
25-JAN-2019 19:00:00,$41.45
